軸,小計,No,チェック項目,強 / Yes,弱,なし / No
冒頭フック,45,,,,,
1-A 引き止めワード,25,1,異常事実・異常値（聞いた瞬間えっ?）,+10,+5,0
1-A 引き止めワード,25,2,具体的な数字（金額/期間/人数/割合/年齢）,+8,+4,0
1-A 引き止めワード,25,3,ネガティブワード（恐怖・損失の強さ）,+7,+3,0
1-B 構文の鋭さ,12,4,答えを隠している（結論を冒頭で出さない）,+4,,-3
1-B 構文の鋭さ,12,5,冒頭1文が疑問形 or 言い切り,+4,,0
1-B 構文の鋭さ,12,6,意外性の仕掛け（逆説/期待の裏切り or ミスリード・上限+4）,+4,,0
1-C 衛生・デリバリー,8,7,前置き・挨拶・自己紹介なしで本題,+4,,-5
1-C 衛生・デリバリー,8,8,間投詞（えーと等）から始まっていない,+4,,-5
1-C 衛生・デリバリー,8,9,冒頭のフック文・テロップが途中で切れていない,0,,-6
1-C 衛生・デリバリー,8,10,冒頭2秒の音声が明瞭,0,,-5
感情トリガー,25,1,コメントを書きたくなる,+5,,0
感情トリガー,25,2,誰かにシェア・転送したくなる,+5,,0
感情トリガー,25,3,保存・見返したくなる（実用情報）,+5,,0
感情トリガー,25,4,感情の振れ幅がある（不安→安心 等の転換）,+5,,0
感情トリガー,25,5,内容について賛否が分かれる,+5,,0
完結性,20,1,冒頭だけで何の話かわかる,+5,,-5
完結性,20,2,結論・オチ・まとめ or 次回への明確な引きがある,+5,,-6
完結性,20,3,1つのテーマだけを扱っている,+4,,-4
完結性,20,4,結論が具体的（行動レベル）,+3,,0
完結性,20,5,この動画だけで理解できる,+3,,-4
ターゲット一致,10,1,テーマが悩みAに直接関係（意見/イントロは満点にしない）,+4,,-3
ターゲット一致,10,2,用語が前提知識Bに適切（難しすぎず簡単すぎず）,+3,,-3
ターゲット一致,10,3,属性Cが自分ごと化できる具体例がある,+2,,0
ターゲット一致,10,4,上級者向けに偏っていない,+1,,-5
映像・音声品質,ゲート,,加点せず合否のみ。即NG条件に1つでも該当→投稿不可,,,
映像・音声品質,ゲート,NG1,音声が聞き取れない（無音/極小音量/ノイズ・音割れ）,,,NG
映像・音声品質,ゲート,NG2,黒フレームが0.5秒以上続く,,,NG
映像・音声品質,ゲート,NG3,テロップが完全に画面外で読めない,,,NG
映像・音声品質,ゲート,NG4,冒頭のフック文・テロップが途中で切れている,,,NG
テーマ即時性・ペルソナ,ゲート,,冒頭フック=テロップ＋冒頭2秒の発言で判定。どちらかで核テーマに言及あればpass,,,
テーマ即時性・ペルソナ,ゲート,Q1,冒頭フックで核テーマ(luna=AI/ao=お金稼ぎ)の動画と分かるか,Yes,,No→保留
テーマ即時性・ペルソナ,ゲート,Q2,視聴者が自分ごとと感じるか,Yes,,No→保留
テーマ即時性・ペルソナ,ゲート,Q3,核テーマに合致（別ジャンルに見えない）,Yes,,テロップも発言も触れず別ジャンル→不採用
フック軸キャップ,,C1,項目7・8が両方No → 冒頭フック軸を最大22点,,,
フック軸キャップ,,C2,項目9 または 10 が No → 冒頭フック軸を最大17点,,,
合計スコア判定,,J1,70点以上,投稿OK,,
合計スコア判定,,J2,50〜69点,保留,,
合計スコア判定,,J3,49点以下,不採用,,
投稿OKゲート,,G1,合計70点以上,必須,,
投稿OKゲート,,G2,冒頭フック28点以上（45点中の62.5%）,必須,,
投稿OKゲート,,G3,品質パス（即NGなし）,必須,,
投稿OKゲート,,G4,テーマ即時性・ペルソナ一致が pass（Q3=NoはG4以前に不採用）,必須,,
